"year","age_name","cluster_4","val","age","measure"
"2023","35-39 years","Adult (late)","3.584309333461605e-4","35-39 years","Mortality"
"2023","35-39 years","Ageing-related","7.826349008415999e-4","35-39 years","Mortality"
"2023","40-44 years","Infant","4.540947169928208e-4","40-44 years","Mortality"
"2023","40-44 years","Adult (early)","6.820792152594458e-4","40-44 years","Mortality"
"2023","40-44 years","Adult (late)","5.592117102793363e-4","40-44 years","Mortality"
"2023","40-44 years","Ageing-related","0.0013291139919393358","40-44 years","Mortality"
"2023","45-49 years","Infant","4.862179762453375e-4","45-49 years","Mortality"
"2023","45-49 years","Adult (early)","6.373795876673459e-4","45-49 years","Mortality"
"2023","45-49 years","Adult (late)","7.771467980932082e-4","45-49 years","Mortality"
"2023","45-49 years","Ageing-related","0.0020552621543322414","45-49 years","Mortality"
"2023","5-9 years","Infant","4.7781906646256704e-4","5-9 years","Mortality"
"2023","5-9 years","Adult (early)","5.113634337158633e-5","5-9 years","Mortality"
"2023","5-9 years","Adult (late)","5.697347262863145e-5","5-9 years","Mortality"
"2023","5-9 years","Ageing-related","8.1789251256668e-5","5-9 years","Mortality"
"2023","50-54 years","Infant","5.781780639443979e-4","50-54 years","Mortality"
"2023","50-54 years","Adult (early)","5.836629259821505e-4","50-54 years","Mortality"
"2023","50-54 years","Adult (late)","0.0011499516023543706","50-54 years","Mortality"
"2023","50-54 years","Ageing-related","0.0033672854117675075","50-54 years","Mortality"
"2023","55-59 years","Infant","7.704509940447447e-4","55-59 years","Mortality"
"2023","55-59 years","Adult (early)","5.43767416292709e-4","55-59 years","Mortality"
"2023","55-59 years","Adult (late)","0.0016102010167825605","55-59 years","Mortality"
"2023","55-59 years","Ageing-related","0.005265150154072883","55-59 years","Mortality"
"2023","60-64 years","Infant","0.001072153743763582","60-64 years","Mortality"
"2023","60-64 years","Adult (early)","5.120216404340557e-4","60-64 years","Mortality"
"2023","60-64 years","Adult (late)","0.0023267188845611736","60-64 years","Mortality"
"2023","60-64 years","Ageing-related","0.008785019744580841","60-64 years","Mortality"
"2023","65-69 years","Infant","0.001438778497233885","65-69 years","Mortality"
"2023","65-69 years","Adult (early)","4.8433007418855845e-4","65-69 years","Mortality"
