figure,figure_title,source_file,year,age_name,age_no,cause_name,cluster_4,val,val_std,age,measure,location_name,exp_loss,type,income_group,growth_transitions,location,diseases,scenario,both,disability,mortality,start_year,no_births,eradication,W,Wnewborn,W_start,Wnewborn_start,erad,W_lag,Wnewborn_lag,erad_lag,erad_diff,dW_dd,dWnewborn_dd,d2W_dd2,d2Wnewborn_dd2,W_elast_1,Wnewborn_elast_1,W_elast_2,Wnewborn_elast_2,W_sum,Wnewborn_sum,dW_dd_sum,dWnewborn_dd_sum,d2W_dd2_sum,W_elast_1_sum,W_elast_2_sum,W_relative,W_sum_relative,complementarity_label
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acne vulgaris,Adult (early),0,-0.46094747813981535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute glomerulonephritis,Ageing-related,5.857544037610312,-0.27346134056656884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute hepatitis A,Infant,332.8668915401911,4.092436313406908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute hepatitis B,Infant,330.191030517787,4.394553965714492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute hepatitis C,Infant,12.636454926825325,3.3563291556627592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute hepatitis E,Infant,57.501952184388905,4.441398751835469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute lymphoid leukemia,Infant,122.63086225934413,1.938761729883643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Acute myeloid leukemia,Ageing-related,48.77124704601135,-0.561187602051084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Adverse effects of medical treatment,Infant,588.5313767403377,3.993710390789374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,African trypanosomiasis,Adult (early),0,-1.012903746036894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Age-related and other hearing loss,Ageing-related,13.590958486951427,-0.8939430337157523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Age-related macular degeneration,Ageing-related,0,-0.5647291487955499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Alcohol use disorders,Adult (early),1.1317856293370367,-1.3007409428391719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Alcoholic cardiomyopathy,Adult (late),0,-1.1372498264861632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Alopecia areata,Adult (early),0,-1.9075399141350373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Alzheimer's disease and other dementias,Ageing-related,0,-0.43230697421190734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Amphetamine use disorders,Adult (early),0,-0.75420783030903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Anorexia nervosa,Adult (early),0,-0.703049646362537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Anxiety disorders,Adult (early),0,-2.2362932798193875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Aortic aneurysm,Ageing-related,0,-0.6595678987678765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Appendicitis,Ageing-related,0,-2.0019938895394533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Asbestosis,Ageing-related,0,-0.625768552376101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Ascariasis,Infant,28.55175911615563,0.9171021822324966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Asthma,Ageing-related,0,-1.3824731175079947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Atopic dermatitis,Ageing-related,0,-0.961678203377201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Atrial fibrillation and flutter,Ageing-related,0,-0.4830643820624895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Attention-deficit/hyperactivity disorder,Adult (early),0,-0.7691310402660485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Autism spectrum disorders,Infant,185.2871808561519,1.516682099253528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Benign and in situ cervical and uterine neoplasms,Adult (early),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Benign and in situ intestinal neoplasms,Adult (early),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Benign prostatic hyperplasia,Adult (late),0,-0.7389481699840825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Bipolar disorder,Adult (early),0,-1.5346346505964936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Bladder cancer,Ageing-related,0,-0.6640887013452914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Brain and central nervous system cancer,Adult (late),97.70523851304466,-0.557494160219515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Breast cancer,Ageing-related,0,-1.0472984838704775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Bulimia nervosa,Adult (early),0,-0.7463442833854286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Burkitt lymphoma,Infant,0,-1.2154569824965504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cannabis use disorders,Adult (early),0,-0.7205333247722397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Caries of deciduous teeth,Infant,0,-0.3518613596772982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Caries of permanent teeth,Adult (early),0,-1.8865721832118028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cataract,Ageing-related,0,-0.6874953751154954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cellulitis,Ageing-related,49.33528955675449,0.3092570542938664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cervical cancer,Adult (late),0,-1.2952445477846373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chagas disease,Ageing-related,0.04093821744188882,-0.815862527917577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chlamydial infection,Adult (early),0,-1.0827080137613103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic hepatitis B including cirrhosis,Adult (late),0.00627437962729699,-1.3284417174389263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic hepatitis C including cirrhosis,Adult (late),0.00482249840235343,-1.3182369483011482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic kidney disease due to diabetes mellitus type 1,Adult (late),1.2822758780850083,-0.8817237249827463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic kidney disease due to diabetes mellitus type 2,Ageing-related,0,-0.7245485689413778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic kidney disease due to glomerulonephritis,Ageing-related,48.30178910762553,-0.691117857324202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic kidney disease due to hypertension,Ageing-related,0,-0.5062322918066805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic kidney disease due to other and unspecified causes,Ageing-related,165.93033234094182,-0.46177635288295393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic lymphoid leukemia,Ageing-related,0,-0.6407530926491759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic myeloid leukemia,Ageing-related,3.331903960085331,-0.8658767206659383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Chronic obstructive pulmonary disease,Ageing-related,0,-0.6537927619808005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cirrhosis due to alcohol,Adult (late),0,-1.1021522670386759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cirrhosis due to other causes,Ageing-related,1.2767515308292812,-2.487198019463647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Coal workers pneumoconiosis,Ageing-related,0,-0.729456817782272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cocaine use disorders,Adult (early),0,-1.0579473026083313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Colon and rectum cancer,Ageing-related,0,-0.8009821482217908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Conduct disorder,Adult (early),0,-0.3675039242257175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Conflict and terrorism,Adult (early),49.646632859205376,-0.483204832179753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Congenital heart anomalies,Infant,14626.70508486831,4.462641020433673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Congenital musculoskeletal and limb anomalies,Infant,722.1495995714031,4.36954168508614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Contact dermatitis,Adult (late),0,-1.6467590570856148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,COVID-19,Ageing-related,2215.2530273137522,0.6357012649108986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Crohn's disease,Ageing-related,0,-1.2236365897204462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cutaneous and mucocutaneous leishmaniasis,Adult (late),0.5778670453352552,-1.8463266629670003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cyclist road injuries,Adult (late),0,-1.7105066680901164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cystic echinococcosis,Adult (late),0,-1.8525113107525655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Cysticercosis,Ageing-related,0,-1.0108716575912182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Decubitus ulcer,Ageing-related,0,-0.5188116708495346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Dengue,Infant,288.39572062048,4.250501421151519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Diabetes mellitus type 1,Infant,109.27430745325005,3.2570786135409318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Diabetes mellitus type 2,Ageing-related,0,-0.9520472282529555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Diarrheal diseases,Infant,15001.99160065548,4.2127320913777595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Dietary iron deficiency,Infant,1099.8053401298628,2.374813752773702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Digestive congenital anomalies,Infant,4302.068886578872,4.473613862401372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Diphtheria,Infant,35.426135424358556,2.537931800386439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Down syndrome,Infant,1050.3987093265946,4.429070084678083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Drowning,Infant,565.0478375146274,1.673546097621911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Drug-susceptible tuberculosis,Infant,1577.82124284641,3.0559302718562043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Dysthymia,Adult (late),0,-1.658439008908491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Ebola,Adult (early),0,-1.2008313607483099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Ectopic pregnancy,Adult (early),0,-0.5966989224334539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Edentulism,Ageing-related,0,-0.7942623031985885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Electrocution,Infant,36.27576656129183,0.3774288814840335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Encephalitis,Infant,644.8240896312634,4.298607435086828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Endocarditis,Ageing-related,71.8591768119274,-0.09423852724599897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Endometriosis,Adult (early),0,-0.6638434817319363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Environmental heat and cold exposure,Ageing-related,40.76575329991437,-0.4125677015770001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Esophageal cancer,Adult (late),0,-0.9387011061935059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Exposure to forces of nature,Infant,369.84645291088975,3.9338435938812975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Extensively drug-resistant tuberculosis,Adult (late),6.784710242472665,1.3730226731780317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Falls,Ageing-related,507.8734106309937,-0.5998420040037823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Female infertility,Adult (early),0,-0.5176847118837286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,"Fire, heat, and hot substances",Infant,508.5559780499538,3.8064847645681015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Food-borne trematodiases,Adult (late),0,-1.4258636862168381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Foreign body in eyes,Adult (late),0.7691030633914747,-1.8360194653019986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Foreign body in other body part,Ageing-related,15.003120179620996,1.4158999472410343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,Fungal skin diseases,Infant,21.21033933190708,-0.17803776556159887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,G6PD deficiency,Infant,21.128155836874463,3.3028000502665895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,Figure 1: Disease Clusters 2023: Centroids and Individual Diseases,f1_clusters4.csv,2023,0-1 years,0,G6PD trait,Infant,0.2733472657759612,2.0636551477852443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
