"location","year","age_name","age","disability","disability_infant","disability_adult_early","disability_adult_late","disability_ageing","disability_covid","disability_ageing_nocov"
"Global",1990,"0-1 years",0,5249.25286627033,4871.22299788429,98.58967176987,26.48874826685,252.95144834932,0,252.95144834932
"Global",1990,"1-2 years",1,5519.93607078175,4553.75601770415,117.16980255035,34.6157172334,814.39453329385,0,814.39453329385
"Global",1990,"2-4 years",2,5249.79410735145,3876.52728221762,222.68208776643,60.49343569661,1090.09130167079,0,1090.09130167079
"Global",1990,"2-4 years",3,5249.79410735145,3876.52728221762,222.68208776643,60.49343569661,1090.09130167079,0,1090.09130167079
"Global",1990,"2-4 years",4,5249.79410735145,3876.52728221762,222.68208776643,60.49343569661,1090.09130167079,0,1090.09130167079
"Global",1990,"5-9 years",5,5385.65465440971,3167.57917625566,943.69775089372,181.55421993015,1092.82350733018,0,1092.82350733018
"Global",1990,"5-9 years",6,5385.65465440971,3167.57917625566,943.69775089372,181.55421993015,1092.82350733018,0,1092.82350733018
"Global",1990,"5-9 years",7,5385.65465440971,3167.57917625566,943.69775089372,181.55421993015,1092.82350733018,0,1092.82350733018
"Global",1990,"5-9 years",8,5385.65465440971,3167.57917625566,943.69775089372,181.55421993015,1092.82350733018,0,1092.82350733018
"Global",1990,"5-9 years",9,5385.65465440971,3167.57917625566,943.69775089372,181.55421993015,1092.82350733018,0,1092.82350733018
"Global",1990,"10-14 years",10,6401.70087138543,2511.87660721205,2255.34487155874,561.65346072232,1072.82593189232,0,1072.82593189232
"Global",1990,"10-14 years",11,6401.70087138543,2511.87660721205,2255.34487155874,561.65346072232,1072.82593189232,0,1072.82593189232
"Global",1990,"10-14 years",12,6401.70087138543,2511.87660721205,2255.34487155874,561.65346072232,1072.82593189232,0,1072.82593189232
"Global",1990,"10-14 years",13,6401.70087138543,2511.87660721205,2255.34487155874,561.65346072232,1072.82593189232,0,1072.82593189232
"Global",1990,"10-14 years",14,6401.70087138543,2511.87660721205,2255.34487155874,561.65346072232,1072.82593189232,0,1072.82593189232
"Global",1990,"15-19 years",15,7610.82272806905,2145.48167445632,3100.50621963061,1126.59723544884,1238.23759853328,0,1238.23759853328
"Global",1990,"15-19 years",16,7610.82272806905,2145.48167445632,3100.50621963061,1126.59723544884,1238.23759853328,0,1238.23759853328
"Global",1990,"15-19 years",17,7610.82272806905,2145.48167445632,3100.50621963061,1126.59723544884,1238.23759853328,0,1238.23759853328
"Global",1990,"15-19 years",18,7610.82272806905,2145.48167445632,3100.50621963061,1126.59723544884,1238.23759853328,0,1238.23759853328
"Global",1990,"15-19 years",19,7610.82272806905,2145.48167445632,3100.50621963061,1126.59723544884,1238.23759853328,0,1238.23759853328
"Global",1990,"20-24 years",20,8786.21384628011,2015.69934836267,3633.08383155393,1697.5526151028,1439.87805126071,0,1439.87805126071
"Global",1990,"20-24 years",21,8786.21384628011,2015.69934836267,3633.08383155393,1697.5526151028,1439.87805126071,0,1439.87805126071
"Global",1990,"20-24 years",22,8786.21384628011,2015.69934836267,3633.08383155393,1697.5526151028,1439.87805126071,0,1439.87805126071
"Global",1990,"20-24 years",23,8786.21384628011,2015.69934836267,3633.08383155393,1697.5526151028,1439.87805126071,0,1439.87805126071
"Global",1990,"20-24 years",24,8786.21384628011,2015.69934836267,3633.08383155393,1697.5526151028,1439.87805126071,0,1439.87805126071
"Global",1990,"25-29 years",25,10137.0772370069,1952.1080479841,4115.66934040711,2327.23026276971,1742.06958584603,0,1742.06958584603
"Global",1990,"25-29 years",26,10137.0772370069,1952.1080479841,4115.66934040711,2327.23026276971,1742.06958584603,0,1742.06958584603
"Global",1990,"25-29 years",27,10137.0772370069,1952.1080479841,4115.66934040711,2327.23026276971,1742.06958584603,0,1742.06958584603
"Global",1990,"25-29 years",28,10137.0772370069,1952.1080479841,4115.66934040711,2327.23026276971,1742.06958584603,0,1742.06958584603
"Global",1990,"25-29 years",29,10137.0772370069,1952.1080479841,4115.66934040711,2327.23026276971,1742.06958584603,0,1742.06958584603
"Global",1990,"30-34 years",30,11183.283573968,1905.22908256871,4245.81993385063,2918.32027752011,2113.91428002856,0,2113.91428002856
"Global",1990,"30-34 years",31,11183.283573968,1905.22908256871,4245.81993385063,2918.32027752011,2113.91428002856,0,2113.91428002856
"Global",1990,"30-34 years",32,11183.283573968,1905.22908256871,4245.81993385063,2918.32027752011,2113.91428002856,0,2113.91428002856
"Global",1990,"30-34 years",33,11183.283573968,1905.22908256871,4245.81993385063,2918.32027752011,2113.91428002856,0,2113.91428002856
"Global",1990,"30-34 years",34,11183.283573968,1905.22908256871,4245.81993385063,2918.32027752011,2113.91428002856,0,2113.91428002856
"Global",1990,"35-39 years",35,12172.2479851802,1853.11504404223,4252.48895171943,3477.42218831039,2589.22180110818,0,2589.22180110818
"Global",1990,"35-39 years",36,12172.2479851802,1853.11504404223,4252.48895171943,3477.42218831039,2589.22180110818,0,2589.22180110818
"Global",1990,"35-39 years",37,12172.2479851802,1853.11504404223,4252.48895171943,3477.42218831039,2589.22180110818,0,2589.22180110818
"Global",1990,"35-39 years",38,12172.2479851802,1853.11504404223,4252.48895171943,3477.42218831039,2589.22180110818,0,2589.22180110818
"Global",1990,"35-39 years",39,12172.2479851802,1853.11504404223,4252.48895171943,3477.42218831039,2589.22180110818,0,2589.22180110818
"Global",1990,"40-44 years",40,13279.0699291321,1810.8059337997,4176.95253348516,4091.34657725795,3199.96488458926,0,3199.96488458926
"Global",1990,"40-44 years",41,13279.0699291321,1810.8059337997,4176.95253348516,4091.34657725795,3199.96488458926,0,3199.96488458926
"Global",1990,"40-44 years",42,13279.0699291321,1810.8059337997,4176.95253348516,4091.34657725795,3199.96488458926,0,3199.96488458926
"Global",1990,"40-44 years",43,13279.0699291321,1810.8059337997,4176.95253348516,4091.34657725795,3199.96488458926,0,3199.96488458926
"Global",1990,"40-44 years",44,13279.0699291321,1810.8059337997,4176.95253348516,4091.34657725795,3199.96488458926,0,3199.96488458926
"Global",1990,"45-49 years",45,14604.2021121811,1820.24656960416,3923.38619728733,4713.35166172982,4147.21768355978,0,4147.21768355978
"Global",1990,"45-49 years",46,14604.2021121811,1820.24656960416,3923.38619728733,4713.35166172982,4147.21768355978,0,4147.21768355978
"Global",1990,"45-49 years",47,14604.2021121811,1820.24656960416,3923.38619728733,4713.35166172982,4147.21768355978,0,4147.21768355978
"Global",1990,"45-49 years",48,14604.2021121811,1820.24656960416,3923.38619728733,4713.35166172982,4147.21768355978,0,4147.21768355978
"Global",1990,"45-49 years",49,14604.2021121811,1820.24656960416,3923.38619728733,4713.35166172982,4147.21768355978,0,4147.21768355978
"Global",1990,"50-54 years",50,16242.7220031165,1782.03640952256,3732.06872828965,5328.22763336232,5400.38923194201,0,5400.38923194201
"Global",1990,"50-54 years",51,16242.7220031165,1782.03640952256,3732.06872828965,5328.22763336232,5400.38923194201,0,5400.38923194201
"Global",1990,"50-54 years",52,16242.7220031165,1782.03640952256,3732.06872828965,5328.22763336232,5400.38923194201,0,5400.38923194201
"Global",1990,"50-54 years",53,16242.7220031165,1782.03640952256,3732.06872828965,5328.22763336232,5400.38923194201,0,5400.38923194201
"Global",1990,"50-54 years",54,16242.7220031165,1782.03640952256,3732.06872828965,5328.22763336232,5400.38923194201,0,5400.38923194201
"Global",1990,"55-59 years",55,18022.3650728532,1740.73300917935,3396.74141528389,5878.48781412721,7006.40283426276,0,7006.40283426276
