"location","year","age_name","age","mortality","mortality_infant","mortality_adult_early","mortality_adult_late","mortality_ageing","mortality_covid","mortality_ageing_nocov"
"Global",1990,"0-1 years",0,6336.87494924773,6167.65093187058,40.3316654189121,15.8433533632412,113.048998594998,0,113.048998594998
"Global",1990,"1-2 years",1,1187.96435168886,1116.10047517279,22.4807974235796,11.2582549820981,38.1248241103939,0,38.1248241103939
"Global",1990,"2-4 years",2,595.137901092958,548.667050433864,10.1424193798192,12.1691856617143,24.1592456175605,0,24.1592456175605
"Global",1990,"2-4 years",3,595.137901092958,548.667050433864,10.1424193798192,12.1691856617143,24.1592456175605,0,24.1592456175605
"Global",1990,"2-4 years",4,595.137901092958,548.667050433864,10.1424193798192,12.1691856617143,24.1592456175605,0,24.1592456175605
"Global",1990,"5-9 years",5,197.58962773609,159.365636256503,8.1957749768701,13.4904017227876,16.5378147799295,0,16.5378147799295
"Global",1990,"5-9 years",6,197.58962773609,159.365636256503,8.1957749768701,13.4904017227876,16.5378147799295,0,16.5378147799295
"Global",1990,"5-9 years",7,197.58962773609,159.365636256503,8.1957749768701,13.4904017227876,16.5378147799295,0,16.5378147799295
"Global",1990,"5-9 years",8,197.58962773609,159.365636256503,8.1957749768701,13.4904017227876,16.5378147799295,0,16.5378147799295
"Global",1990,"5-9 years",9,197.58962773609,159.365636256503,8.1957749768701,13.4904017227876,16.5378147799295,0,16.5378147799295
"Global",1990,"10-14 years",10,109.34827198677,75.8469641046019,9.16297426693549,9.72458054272862,14.6137530725035,0,14.6137530725035
"Global",1990,"10-14 years",11,109.34827198677,75.8469641046019,9.16297426693549,9.72458054272862,14.6137530725035,0,14.6137530725035
"Global",1990,"10-14 years",12,109.34827198677,75.8469641046019,9.16297426693549,9.72458054272862,14.6137530725035,0,14.6137530725035
"Global",1990,"10-14 years",13,109.34827198677,75.8469641046019,9.16297426693549,9.72458054272862,14.6137530725035,0,14.6137530725035
"Global",1990,"10-14 years",14,109.34827198677,75.8469641046019,9.16297426693549,9.72458054272862,14.6137530725035,0,14.6137530725035
"Global",1990,"15-19 years",15,174.557027090273,71.9031147459641,57.1259553265745,18.1918995332429,27.3360574844917,0,27.3360574844917
"Global",1990,"15-19 years",16,174.557027090273,71.9031147459641,57.1259553265745,18.1918995332429,27.3360574844917,0,27.3360574844917
"Global",1990,"15-19 years",17,174.557027090273,71.9031147459641,57.1259553265745,18.1918995332429,27.3360574844917,0,27.3360574844917
"Global",1990,"15-19 years",18,174.557027090273,71.9031147459641,57.1259553265745,18.1918995332429,27.3360574844917,0,27.3360574844917
"Global",1990,"15-19 years",19,174.557027090273,71.9031147459641,57.1259553265745,18.1918995332429,27.3360574844917,0,27.3360574844917
"Global",1990,"20-24 years",20,213.602912623324,70.1838201271315,83.3537822091256,24.9622396143428,35.1030706727238,0,35.1030706727238
"Global",1990,"20-24 years",21,213.602912623324,70.1838201271315,83.3537822091256,24.9622396143428,35.1030706727238,0,35.1030706727238
"Global",1990,"20-24 years",22,213.602912623324,70.1838201271315,83.3537822091256,24.9622396143428,35.1030706727238,0,35.1030706727238
"Global",1990,"20-24 years",23,213.602912623324,70.1838201271315,83.3537822091256,24.9622396143428,35.1030706727238,0,35.1030706727238
"Global",1990,"20-24 years",24,213.602912623324,70.1838201271315,83.3537822091256,24.9622396143428,35.1030706727238,0,35.1030706727238
"Global",1990,"25-29 years",25,213.876256673672,66.5822497597967,78.5088296801418,26.8626905351,41.9224866986337,0,41.9224866986337
"Global",1990,"25-29 years",26,213.876256673672,66.5822497597967,78.5088296801418,26.8626905351,41.9224866986337,0,41.9224866986337
"Global",1990,"25-29 years",27,213.876256673672,66.5822497597967,78.5088296801418,26.8626905351,41.9224866986337,0,41.9224866986337
"Global",1990,"25-29 years",28,213.876256673672,66.5822497597967,78.5088296801418,26.8626905351,41.9224866986337,0,41.9224866986337
"Global",1990,"25-29 years",29,213.876256673672,66.5822497597967,78.5088296801418,26.8626905351,41.9224866986337,0,41.9224866986337
"Global",1990,"30-34 years",30,252.943170990081,74.4716584007708,78.22121286832,36.2729880940968,63.9773116268939,0,63.9773116268939
"Global",1990,"30-34 years",31,252.943170990081,74.4716584007708,78.22121286832,36.2729880940968,63.9773116268939,0,63.9773116268939
"Global",1990,"30-34 years",32,252.943170990081,74.4716584007708,78.22121286832,36.2729880940968,63.9773116268939,0,63.9773116268939
"Global",1990,"30-34 years",33,252.943170990081,74.4716584007708,78.22121286832,36.2729880940968,63.9773116268939,0,63.9773116268939
"Global",1990,"30-34 years",34,252.943170990081,74.4716584007708,78.22121286832,36.2729880940968,63.9773116268939,0,63.9773116268939
"Global",1990,"35-39 years",35,296.531893292492,76.7712044389688,71.3169836780719,51.3650480778343,97.0786570976168,0,97.0786570976168
"Global",1990,"35-39 years",36,296.531893292492,76.7712044389688,71.3169836780719,51.3650480778343,97.0786570976168,0,97.0786570976168
"Global",1990,"35-39 years",37,296.531893292492,76.7712044389688,71.3169836780719,51.3650480778343,97.0786570976168,0,97.0786570976168
"Global",1990,"35-39 years",38,296.531893292492,76.7712044389688,71.3169836780719,51.3650480778343,97.0786570976168,0,97.0786570976168
"Global",1990,"35-39 years",39,296.531893292492,76.7712044389688,71.3169836780719,51.3650480778343,97.0786570976168,0,97.0786570976168
"Global",1990,"40-44 years",40,406.548218624466,94.6387838624819,67.9648917572089,77.7585325154092,166.186010489366,0,166.186010489366
"Global",1990,"40-44 years",41,406.548218624466,94.6387838624819,67.9648917572089,77.7585325154092,166.186010489366,0,166.186010489366
"Global",1990,"40-44 years",42,406.548218624466,94.6387838624819,67.9648917572089,77.7585325154092,166.186010489366,0,166.186010489366
"Global",1990,"40-44 years",43,406.548218624466,94.6387838624819,67.9648917572089,77.7585325154092,166.186010489366,0,166.186010489366
"Global",1990,"40-44 years",44,406.548218624466,94.6387838624819,67.9648917572089,77.7585325154092,166.186010489366,0,166.186010489366
"Global",1990,"45-49 years",45,574.531662643918,120.689162146221,63.4320911141297,114.812846760811,275.597562622756,0,275.597562622756
"Global",1990,"45-49 years",46,574.531662643918,120.689162146221,63.4320911141297,114.812846760811,275.597562622756,0,275.597562622756
"Global",1990,"45-49 years",47,574.531662643918,120.689162146221,63.4320911141297,114.812846760811,275.597562622756,0,275.597562622756
"Global",1990,"45-49 years",48,574.531662643918,120.689162146221,63.4320911141297,114.812846760811,275.597562622756,0,275.597562622756
"Global",1990,"45-49 years",49,574.531662643918,120.689162146221,63.4320911141297,114.812846760811,275.597562622756,0,275.597562622756
"Global",1990,"50-54 years",50,877.092798016994,156.429458644721,60.9337826780558,176.926851200566,482.802705493651,0,482.802705493651
"Global",1990,"50-54 years",51,877.092798016994,156.429458644721,60.9337826780558,176.926851200566,482.802705493651,0,482.802705493651
