"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster","level1_name"
"68","Cutaneous and mucocutaneous leishmaniasis","Adult (late)",0.02697064691027,0.176301687524022,"Communicable, maternal, neonatal, and nutritional diseases"
"69","Cyclist road injuries","Adult (late)",0.176474415113957,1.15357771331611,"Injuries"
"70","Cystic echinococcosis","Adult (late)",0.00346812947664614,0.022670463979553,"Communicable, maternal, neonatal, and nutritional diseases"
"71","Cysticercosis","Ageing-related",0.042286195328319,0.101082221510287,"Communicable, maternal, neonatal, and nutritional diseases"
"72","Decubitus ulcer","Ageing-related",0.0394227512685016,0.0942373567857717,"Non-communicable diseases"
"73","Dengue","Infant",0.107818369581623,0.401471653193718,"Communicable, maternal, neonatal, and nutritional diseases"
"74","Diabetes mellitus type 1","Infant",0.112269701103754,0.418046597074226,"Non-communicable diseases"
"75","Diabetes mellitus type 2","Ageing-related",3.11181425465097,7.43857647502387,"Non-communicable diseases"
"76","Diarrheal diseases","Infant",2.01902934539209,7.51804216931277,"Communicable, maternal, neonatal, and nutritional diseases"
"77","Dietary iron deficiency","Infant",1.40655515095289,5.23743796119733,"Communicable, maternal, neonatal, and nutritional diseases"
"78","Digestive congenital anomalies","Infant",0.217132891399279,0.808514367366754,"Non-communicable diseases"
"79","Diphtheria","Infant",0.0117931056568736,0.0439127176818319,"Communicable, maternal, neonatal, and nutritional diseases"
"80","Down syndrome","Infant",0.0869823658272861,0.323886869583431,"Non-communicable diseases"
"81","Drowning","Infant",0.607815280048891,2.26325631026072,"Injuries"
"82","Drug-susceptible tuberculosis","Infant",1.41777150575281,5.27920309381625,"Communicable, maternal, neonatal, and nutritional diseases"
"83","Dysthymia","Adult (late)",0.304426646597704,1.98997568360206,"Non-communicable diseases"
"84","Ebola","Adult (early)",1.25681919733357e-07,7.84886999194509e-07,"Communicable, maternal, neonatal, and nutritional diseases"
"85","Ectopic pregnancy","Adult (early)",0.0278462341996831,0.173900488202489,"Communicable, maternal, neonatal, and nutritional diseases"
"86","Edentulism","Ageing-related",0.359627865249959,0.859665506774104,"Non-communicable diseases"
"87","Electrocution","Infant",0.0939731973304443,0.349917876096166,"Injuries"
"88","Encephalitis","Infant",0.152999659462132,0.569708357311381,"Communicable, maternal, neonatal, and nutritional diseases"
"89","Endocarditis","Ageing-related",0.0835441476442217,0.199706499307727,"Non-communicable diseases"
"90","Endometriosis","Adult (early)",0.0681912142697489,0.425855983527021,"Non-communicable diseases"
"91","Environmental heat and cold exposure","Ageing-related",0.113183964400033,0.270558428632963,"Injuries"
"92","Esophageal cancer","Adult (late)",0.501594603566976,3.2788229127766,"Non-communicable diseases"
"93","Exposure to forces of nature","Infant",0.171129686852702,0.637217188108803,"Injuries"
"94","Extensively drug-resistant tuberculosis","Adult (late)",0.00870689093240411,0.0569151926380354,"Communicable, maternal, neonatal, and nutritional diseases"
"95","Falls","Ageing-related",2.65448892347334,6.34537194173723,"Injuries"
"96","Female infertility","Adult (early)",0.0223450237003497,0.139545279355268,"Non-communicable diseases"
"97","Fire, heat, and hot substances","Infant",0.381415852384968,1.42023713960319,"Injuries"
"98","Food-borne trematodiases","Adult (late)",0.037047280048389,0.242170609123169,"Communicable, maternal, neonatal, and nutritional diseases"
"99","Foreign body in eyes","Adult (late)",0.0125408329481966,0.0819768995189362,"Injuries"
"100","Foreign body in other body part","Ageing-related",0.025509586881033,0.0609789008380622,"Injuries"
"101","Fungal skin diseases","Infant",0.0710730563797673,0.264647087069094,"Non-communicable diseases"
"102","G6PD deficiency","Infant",0.0197468364684556,0.0735291686667102,"Non-communicable diseases"
"103","G6PD trait","Infant",0.000541448278342007,0.00201613265224063,"Non-communicable diseases"
"104","Gallbladder and biliary diseases","Ageing-related",0.291808185121245,0.697547258104507,"Non-communicable diseases"
"105","Gallbladder and biliary tract cancer","Ageing-related",0.143085435732005,0.342035825102297,"Non-communicable diseases"
"106","Gastritis and duodenitis","Ageing-related",0.104610373343791,0.250063852955088,"Non-communicable diseases"
"107","Gastroesophageal reflux disease","Adult (late)",0.230060343498236,1.50385813607054,"Non-communicable diseases"
"108","Genital herpes","Adult (late)",0.00775354250183896,0.0506833459320147,"Communicable, maternal, neonatal, and nutritional diseases"
"109","Genital prolapse","Ageing-related",0.0154942950201654,0.0370380392280224,"Non-communicable diseases"
"110","Glaucoma","Ageing-related",0.0244616750840072,0.0584739402577173,"Non-communicable diseases"
"111","Gonococcal infection","Adult (early)",0.00279659594377055,0.0174648175562759,"Communicable, maternal, neonatal, and nutritional diseases"
"112","Gout","Ageing-related",0.0639466267208219,0.152859982716414,"Non-communicable diseases"
"113","Guinea worm disease","Adult (early)",8.35840175293157e-09,5.21984457576628e-08,"Communicable, maternal, neonatal, and nutritional diseases"
"114","HIV/AIDS - Drug-susceptible Tuberculosis","Adult (early)",0.356772768773474,2.2280556222488,"Communicable, maternal, neonatal, and nutritional diseases"
"115","HIV/AIDS - Extensively drug-resistant Tuberculosis","Adult (early)",0.00143078353006314,0.00893528197047525,"Communicable, maternal, neonatal, and nutritional diseases"
"116","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","Adult (early)",0.0341469541818419,0.213248655465157,"Communicable, maternal, neonatal, and nutritional diseases"
