"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster"
"48","Chronic hepatitis C including cirrhosis","Adult (late)",0.393365037824337,2.57134803670481
"49","Chronic kidney disease due to diabetes mellitus type 1","Adult (late)",0.109403007637056,0.715145429428757
"50","Chronic kidney disease due to diabetes mellitus type 2","Ageing-related",0.342257077430143,0.818141841460214
"51","Chronic kidney disease due to glomerulonephritis","Ageing-related",0.263650729645593,0.630238810762362
"52","Chronic kidney disease due to hypertension","Ageing-related",0.337897482664272,0.807720532084959
"53","Chronic kidney disease due to other and unspecified causes","Ageing-related",0.596749530378977,1.42648842601195
"54","Chronic lymphoid leukemia","Ageing-related",0.0351588230612673,0.0840447316937957
"55","Chronic myeloid leukemia","Ageing-related",0.0284982192502453,0.0681230195465906
"56","Chronic obstructive pulmonary disease","Ageing-related",2.67549283627291,6.39558034071247
"57","Cirrhosis due to alcohol","Adult (late)",0.34588993158168,2.26101282769744
"58","Cirrhosis due to other causes","Ageing-related",0.235117763432089,0.562032731006412
"59","Coal workers pneumoconiosis","Ageing-related",0.00216341490190565,0.00517149350125221
"60","Cocaine use disorders","Adult (early)",0.0519787423561634,0.324608656490832
"61","Colon and rectum cancer","Ageing-related",0.935052365617014,2.23517792535284
"62","Conduct disorder","Adult (early)",0.171971830931562,1.0739687507338
"63","Conflict and terrorism","Adult (early)",0.472204335418548,2.94892888825706
"64","Congenital heart anomalies","Infant",0.947514220136541,3.52815667551711
"65","Congenital musculoskeletal and limb anomalies","Infant",0.127119711239401,0.473341980803695
"66","Contact dermatitis","Adult (late)",0.133558873277531,0.873047458630646
"67","Crohn's disease","Ageing-related",0.0147827686113581,0.0353371846227062
"68","Cutaneous and mucocutaneous leishmaniasis","Adult (late)",0.02697064691027,0.176301687524022
"69","Cyclist road injuries","Adult (late)",0.176474415113957,1.15357771331611
"70","Cystic echinococcosis","Adult (late)",0.00346812947664614,0.022670463979553
"71","Cysticercosis","Ageing-related",0.042286195328319,0.101082221510287
"72","Decubitus ulcer","Ageing-related",0.0394227512685016,0.0942373567857717
"73","Dengue","Infant",0.107818369581623,0.401471653193718
"74","Diabetes mellitus type 1","Infant",0.112269701103754,0.418046597074226
"75","Diabetes mellitus type 2","Ageing-related",3.11181425465097,7.43857647502387
"76","Diarrheal diseases","Infant",2.01902934539209,7.51804216931277
"77","Dietary iron deficiency","Infant",1.40655515095289,5.23743796119733
"78","Digestive congenital anomalies","Infant",0.217132891399279,0.808514367366754
"79","Diphtheria","Infant",0.0117931056568736,0.0439127176818319
"80","Down syndrome","Infant",0.0869823658272861,0.323886869583431
"81","Drowning","Infant",0.607815280048891,2.26325631026072
"82","Drug-susceptible tuberculosis","Infant",1.41777150575281,5.27920309381625
"83","Dysthymia","Adult (late)",0.304426646597704,1.98997568360206
"84","Ebola","Adult (early)",1.25681919733357e-07,7.84886999194509e-07
"85","Ectopic pregnancy","Adult (early)",0.0278462341996831,0.173900488202489
"86","Edentulism","Ageing-related",0.359627865249959,0.859665506774104
"87","Electrocution","Infant",0.0939731973304443,0.349917876096166
"88","Encephalitis","Infant",0.152999659462132,0.569708357311381
"89","Endocarditis","Ageing-related",0.0835441476442217,0.199706499307727
"90","Endometriosis","Adult (early)",0.0681912142697489,0.425855983527021
"91","Environmental heat and cold exposure","Ageing-related",0.113183964400033,0.270558428632963
"92","Esophageal cancer","Adult (late)",0.501594603566976,3.2788229127766
"93","Exposure to forces of nature","Infant",0.171129686852702,0.637217188108803
"94","Extensively drug-resistant tuberculosis","Adult (late)",0.00870689093240411,0.0569151926380354
"95","Falls","Ageing-related",2.65448892347334,6.34537194173723
"96","Female infertility","Adult (early)",0.0223450237003497,0.139545279355268
"97","Fire, heat, and hot substances","Infant",0.381415852384968,1.42023713960319
"98","Food-borne trematodiases","Adult (late)",0.037047280048389,0.242170609123169
"99","Foreign body in eyes","Adult (late)",0.0125408329481966,0.0819768995189362
"100","Foreign body in other body part","Ageing-related",0.025509586881033,0.0609789008380622
"101","Fungal skin diseases","Infant",0.0710730563797673,0.264647087069094
"102","G6PD deficiency","Infant",0.0197468364684556,0.0735291686667102
